#       x                y            Correxpect        Corryield
     0.262500         0.287500         0.075153         0.847508
     0.262500         0.312500         0.070600         0.841541
     0.262500         0.337500         0.066322         0.828367
     0.262500         0.362500         0.062304         0.808127
     0.262500         0.387500         0.058529         0.781222
     0.262500         0.412500         0.054983         0.748307
     0.262500         0.437500         0.051652         0.710261
     0.262500         0.462500         0.048522         0.668152
     0.262500         0.487500         0.045583         0.623191
     0.262500         0.512500         0.042821         0.576671
     0.262500         0.537500         0.040227         0.529907
     0.262500         0.562500         0.037789         0.484173
     0.262500         0.587500         0.035500         0.440637
     0.262500         0.612500         0.033349         0.400313
     0.262500         0.637500         0.031328         0.364006
     0.262500         0.662500         0.029430         0.332284
     0.262500         0.687500         0.027647         0.305453
     0.262500         0.712500         0.025972         0.283553
     0.262500         0.737500         0.024399         0.266367
     0.262500         0.762500         0.022920         0.253442
     0.262500         0.787500         0.021532         0.244132
     0.262500         0.812500         0.020227         0.237636
     0.262500         0.837500         0.019002         0.233064
     0.262500         0.862500         0.017850         0.229486
     0.262500         0.887500         0.016769         0.226001
     0.262500         0.912500         0.015753         0.221791
     0.262500         0.937500         0.014799         0.216171
     0.262500         0.962500         0.013902         0.208632
     0.262500         0.987500         0.013060         0.198871
     0.287500         0.012500         0.040227         0.532251
     0.287500         0.037500         0.042821         0.566218
     0.287500         0.062500         0.045583         0.601735
     0.287500         0.087500         0.048522         0.638362
     0.287500         0.112500         0.051652         0.675408
     0.287500         0.137500         0.054983         0.711961
     0.287500         0.162500         0.058529         0.746946
     0.287500         0.187500         0.062304         0.779182
     0.287500         0.212500         0.066322         0.807453
     0.287500         0.237500         0.070600         0.830583
     0.287500         0.262500         0.075153         0.847508
     0.287500         0.287500         0.080000         0.857341
     0.287500         0.312500         0.075153         0.859434
     0.287500         0.337500         0.070600         0.853419
     0.287500         0.362500         0.066322         0.839239
     0.287500         0.387500         0.062304         0.817162
     0.287500         0.412500         0.058529         0.787768
     0.287500         0.437500         0.054983         0.751932
     0.287500         0.462500         0.051652         0.710777
     0.287500         0.487500         0.048522         0.665618
     0.287500         0.512500         0.045583         0.617903
     0.287500         0.537500         0.042821         0.569130
     0.287500         0.562500         0.040227         0.520779
     0.287500         0.587500         0.037789         0.474231
     0.287500         0.612500         0.035500         0.430706
     0.287500         0.637500         0.033349         0.391201
     0.287500         0.662500         0.031328         0.356449
     0.287500         0.687500         0.029430         0.326885
     0.287500         0.712500         0.027647         0.302642
     0.287500         0.737500         0.025972         0.283553
     0.287500         0.762500         0.024399         0.269177
     0.287500         0.787500         0.022920         0.258841
     0.287500         0.812500         0.021532         0.251689
     0.287500         0.837500         0.020227         0.246748
     0.287500         0.862500         0.019002         0.242995
     0.287500         0.887500         0.017850         0.239428
     0.287500         0.912500         0.016769         0.235130
     0.287500         0.937500         0.015753         0.229332
     0.287500         0.962500         0.014799         0.221459
     0.287500         0.987500         0.013902         0.211165
     0.312500         0.012500         0.037789         0.481260
     0.312500         0.037500         0.040227         0.513739
     0.312500         0.062500         0.042821         0.549415
     0.312500         0.087500         0.045583         0.587822
     0.312500         0.112500         0.048522         0.628181
     0.312500         0.137500         0.051652         0.669438
     0.312500         0.162500         0.054983         0.710327
     0.312500         0.187500         0.058529         0.749436
     0.312500         0.212500         0.062304         0.785291
     0.312500         0.237500         0.066322         0.816441
     0.312500         0.262500         0.070600         0.841541
     0.312500         0.287500         0.075153         0.859434
     0.312500         0.312500         0.080000         0.869219
     0.312500         0.337500         0.075153         0.870307
     0.312500         0.362500         0.070600         0.862454
     0.312500         0.387500         0.066322         0.845785
     0.312500         0.412500         0.062304         0.820787
     0.312500         0.437500         0.058529         0.788284
     0.312500         0.462500         0.054983         0.749399
     0.312500         0.487500         0.051652         0.705488
     0.312500         0.512500         0.048522         0.658077
     0.312500         0.537500         0.045583         0.608774
     0.312500         0.562500         0.042821         0.559188
     0.312500         0.587500         0.040227         0.510847
     0.312500         0.612500         0.037789         0.465119
     0.312500         0.637500         0.035500         0.423149
     0.312500         0.662500         0.033349         0.385803
     0.312500         0.687500         0.031328         0.353638
     0.312500         0.712500         0.029430         0.326885
     0.312500         0.737500         0.027647         0.305453
     0.312500         0.762500         0.025972         0.288952
     0.312500         0.787500         0.024399         0.276735
     0.312500         0.812500         0.022920         0.267953
