#       x                y            Correxpect        Corryield
     0.425000         0.225000         0.000824         0.001206
     0.425000         0.275000         0.001428         0.002170
     0.425000         0.325000         0.002476         0.003194
     0.425000         0.375000         0.004291         0.004026
     0.425000         0.425000         0.007438         0.004417
     0.425000         0.475000         0.004291         0.004222
     0.425000         0.525000         0.002476         0.003465
     0.425000         0.575000         0.001428         0.002346
     0.425000         0.625000         0.000824         0.001169
     0.425000         0.675000         0.000475         0.000237
     0.425000         0.725000         0.000274        -0.000265
     0.425000         0.775000         0.000158        -0.000324
     0.425000         0.825000         0.000091        -0.000086
     0.425000         0.875000         0.000053         0.000224
     0.425000         0.925000         0.000030         0.000404
     0.425000         0.975000         0.000018         0.000364
     0.425000         1.025000         0.000010         0.000145
     0.425000         1.075000         0.000006        -0.000121
     0.425000         1.125000         0.000003        -0.000290
     0.425000         1.175000         0.000002        -0.000282
     0.425000         1.225000         0.000001        -0.000118
     0.425000         1.275000         0.000001         0.000100
     0.425000         1.325000         0.000000         0.000248
     0.425000         1.375000         0.000000         0.000251
     0.425000         1.425000         0.000000         0.000114
     0.425000         1.475000         0.000000        -0.000080
     0.425000         1.525000         0.000000        -0.000220
     0.425000         1.575000         0.000000        -0.000231
     0.425000         1.625000         0.000000        -0.000112
     0.425000         1.675000         0.000000         0.000066
     0.425000         1.725000         0.000000         0.000202
     0.425000         1.775000         0.000000         0.000221
     0.425000         1.825000         0.000000         0.000115
     0.425000         1.875000         0.000000        -0.000055
     0.425000         1.925000         0.000000        -0.000192
     0.425000         1.975000         0.000000        -0.000218
     0.475000         0.025000         0.000053         0.000246
     0.475000         0.075000         0.000091         0.000189
     0.475000         0.125000         0.000158         0.000032
     0.475000         0.175000         0.000274        -0.000031
     0.475000         0.225000         0.000475         0.000226
     0.475000         0.275000         0.000824         0.000929
     0.475000         0.325000         0.001428         0.002019
     0.475000         0.375000         0.002476         0.003238
     0.475000         0.425000         0.004291         0.004222
     0.475000         0.475000         0.007438         0.004645
     0.475000         0.525000         0.004291         0.004353
     0.475000         0.575000         0.002476         0.003434
     0.475000         0.625000         0.001428         0.002181
     0.475000         0.675000         0.000824         0.000972
     0.475000         0.725000         0.000475         0.000119
     0.475000         0.775000         0.000274        -0.000243
     0.475000         0.825000         0.000158        -0.000181
     0.475000         0.875000         0.000091         0.000092
     0.475000         0.925000         0.000053         0.000335
     0.475000         0.975000         0.000030         0.000389
     0.475000         1.025000         0.000018         0.000236
     0.475000         1.075000         0.000010        -0.000020
     0.475000         1.125000         0.000006        -0.000228
     0.475000         1.175000         0.000003        -0.000281
     0.475000         1.225000         0.000002        -0.000164
     0.475000         1.275000         0.000001         0.000039
     0.475000         1.325000         0.000001         0.000206
     0.475000         1.375000         0.000000         0.000244
     0.475000         1.425000         0.000000         0.000139
     0.475000         1.475000         0.000000        -0.000041
     0.475000         1.525000         0.000000        -0.000188
     0.475000         1.575000         0.000000        -0.000220
     0.475000         1.625000         0.000000        -0.000123
     0.475000         1.675000         0.000000         0.000042
     0.475000         1.725000         0.000000         0.000178
     0.475000         1.775000         0.000000         0.000207
     0.475000         1.825000         0.000000         0.000115
     0.475000         1.875000         0.000000        -0.000043
     0.475000         1.925000         0.000000        -0.000174
     0.475000         1.975000         0.000000        -0.000201
     0.525000         0.025000         0.000030         0.000501
     0.525000         0.075000         0.000053         0.000436
     0.525000         0.125000         0.000091         0.000126
     0.525000         0.175000         0.000158        -0.000217
     0.525000         0.225000         0.000274        -0.000308
     0.525000         0.275000         0.000475         0.000074
     0.525000         0.325000         0.000824         0.000973
     0.525000         0.375000         0.001428         0.002215
     0.525000         0.425000         0.002476         0.003465
     0.525000         0.475000         0.004291         0.004353
     0.525000         0.525000         0.007438         0.004614
     0.525000         0.575000         0.004291         0.004189
     0.525000         0.625000         0.002476         0.003237
     0.525000         0.675000         0.001428         0.002063
     0.525000         0.725000         0.000824         0.000994
     0.525000         0.775000         0.000475         0.000262
     0.525000         0.825000         0.000274        -0.000065
     0.525000         0.875000         0.000158        -0.000070
     0.525000         0.925000         0.000091         0.000077
     0.525000         0.975000         0.000053         0.000206
     0.525000         1.025000         0.000030         0.000223
     0.525000         1.075000         0.000018         0.000129
     0.525000         1.125000         0.000010        -0.000010
     0.525000         1.175000         0.000006        -0.000110
     0.525000         1.225000         0.000003        -0.000123
     0.525000         1.275000         0.000002        -0.000058
     0.525000         1.325000         0.000001         0.000035
     0.525000         1.375000         0.000001         0.000094
     0.525000         1.425000         0.000000         0.000090
     0.525000         1.475000         0.000000         0.000031
     0.525000         1.525000         0.000000        -0.000041
     0.525000         1.575000         0.000000        -0.000080
     0.525000         1.625000         0.000000        -0.000066
     0.525000         1.675000         0.000000        -0.000011
     0.525000         1.725000         0.000000         0.000047
     0.525000         1.775000         0.000000         0.000071
     0.525000         1.825000         0.000000         0.000049
     0.525000         1.875000         0.000000        -0.000004
     0.525000         1.925000         0.000000        -0.000053
     0.525000         1.975000         0.000000        -0.000066
     0.575000         0.025000         0.000018         0.000466
     0.575000         0.075000         0.000030         0.000438
     0.575000         0.125000         0.000053         0.000188
     0.575000         0.175000         0.000091        -0.000151
     0.575000         0.225000         0.000158        -0.000368
     0.575000         0.275000         0.000274        -0.000264
     0.575000         0.325000         0.000475         0.000270
     0.575000         0.375000         0.000824         0.001200
     0.575000         0.425000         0.001428         0.002346
     0.575000         0.475000         0.002476         0.003434
     0.575000         0.525000         0.004291         0.004189
     0.575000         0.575000         0.007438         0.004416
     0.575000         0.625000         0.004291         0.004070
     0.575000         0.675000         0.002476         0.003259
     0.575000         0.725000         0.001428         0.002206
     0.575000         0.775000         0.000824         0.001172
     0.575000         0.825000         0.000475         0.000373
     0.575000         0.875000         0.000274        -0.000080
     0.575000         0.925000         0.000158        -0.000198
     0.575000         0.975000         0.000091        -0.000088
     0.575000         1.025000         0.000053         0.000099
     0.575000         1.075000         0.000030         0.000233
     0.575000         1.125000         0.000018         0.000247
     0.575000         1.175000         0.000010         0.000147
     0.575000         1.225000         0.000006        -0.000004
     0.575000         1.275000         0.000003        -0.000128
     0.575000         1.325000         0.000002        -0.000169
     0.575000         1.375000         0.000001        -0.000120
     0.575000         1.425000         0.000001        -0.000014
     0.575000         1.475000         0.000000         0.000090
     0.575000         1.525000         0.000000         0.000139
     0.575000         1.575000         0.000000         0.000114
     0.575000         1.625000         0.000000         0.000032
     0.575000         1.675000         0.000000        -0.000061
     0.575000         1.725000         0.000000        -0.000118
     0.575000         1.775000         0.000000        -0.000111
     0.575000         1.825000         0.000000        -0.000047
     0.575000         1.875000         0.000000         0.000040
     0.575000         1.925000         0.000000         0.000104
     0.575000         1.975000         0.000000         0.000113
     0.625000         0.025000         0.000010         0.000195
     0.625000         0.075000         0.000018         0.000217
     0.625000         0.125000         0.000030         0.000161
     0.625000         0.175000         0.000053         0.000036
     0.625000         0.225000         0.000091        -0.000107
     0.625000         0.275000         0.000158        -0.000172
     0.625000         0.325000         0.000274        -0.000037
     0.625000         0.375000         0.000475         0.000401
     0.625000         0.425000         0.000824         0.001169
     0.625000         0.475000         0.001428         0.002181
     0.625000         0.525000         0.002476         0.003237
     0.625000         0.575000         0.004291         0.004070
     0.625000         0.625000         0.007438         0.004439
     0.625000         0.675000         0.004291         0.004213
     0.625000         0.725000         0.002476         0.003437
     0.625000         0.775000         0.001428         0.002317
     0.625000         0.825000         0.000824         0.001157
     0.625000         0.875000         0.000475         0.000244
     0.625000         0.925000         0.000274        -0.000246
     0.625000         0.975000         0.000158        -0.000305
